source,target
Baron Zemo,Blackout (Marcus Daniels)
Baron Zemo,Vermin (comics)
N'astirh,S'ym
N'astirh,Belasco (Marvel Comics)
N'astirh,Madelyne Pryor
Silver Sable,Peregrine (comics)
Hope Summers (comics),Cable (comics)
Magik (Illyana Rasputin),Belasco (Marvel Comics)
Night Thrasher (Dwayne Taylor),Midnight's Fire
Night Thrasher (Dwayne Taylor),Silhouette (comics)
Orb (comics),Justin Hammer
Forge (comics),Storm (Marvel Comics)
U.S. Agent (character),Battlestar (comics)
Venom (Marvel Comics character),Carnage (comics)
Venom (Marvel Comics character),Doctor Doom
Venom (Marvel Comics character),Spider-Man
Venom (Marvel Comics character),Magneto (comics)
Venom (Marvel Comics character),Red Skull
Venom (Marvel Comics character),Eddie Brock
Hercules (Marvel Comics),Amadeus Cho
Selene (comics),Senyaka
Selene (comics),Eli Bard
Selene (comics),Wither (comics)
Selene (comics),Lois London
Selene (comics),Blink (comics)
Hood (comics),Cyclone (Marvel Comics)
Hood (comics),Madame Masque
Sabretooth (comics),Pasco (comics)
Beetle (comics),Ringer (comics)
Siryn,Black Tom Cassidy
Siryn,Juggernaut (comics)
Malekith the Accursed,Surtur (Marvel Comics)
Malekith the Accursed,Kurse
Malekith the Accursed,Loki (comics)
Mister Negative,Hammerhead (comics)
Jessica Jones,Carol Danvers
Jessica Jones,Luke Cage
Maria Hill,Iron Man
Maria Hill,Nick Fury
Maria Hill,Captain America
Master Izo,Iron Fist (comics)
Valkyrie (Marvel Comics),Aragorn (comics)
Nova (Sam Alexander),Spider-Man (Miles Morales)
Rampage (Marvel Comics),Jigsaw (Marvel Comics)
Cable (comics),Domino (comics)
Cable (comics),Rachel Summers
Cable (comics),Deadpool
Mercurio the 4-D Man,Thor (Marvel Comics)
Mojo (comics),Spiral (comics)
Trevor Fitzroy,Shard (comics)
Rev (comics),Jigsaw (Marvel Comics)
Matsu'o Tsurayaba,Abraham Cornelius
Elsie-Dee,Albert (comics)
Motormouth (comics),Killpower
Mephisto (comics),Zarathos
Fury (Marvel Comics),Mad Jim Jaspers
Andromeda (Marvel Comics),Namor
Magneto (comics),Garokk
Wasp (comics),Hank Pym
Spidercide,Jackal (Marvel Comics)
Crimson Dynamo,Answer (comics)
Crimson Dynamo,Darkstar (comics)
Nomad (comics),Demolition Man (comics)
Nomad (comics),Falcon (comics)
Nomad (comics),Captain America
Kro (comics),Ghaur
Kro (comics),Giganto
Walrus (comics),White Rabbit (comics)
Spymaster (comics),Justin Hammer
Hawkeye (Kate Bishop),Hawkeye (comics)
Headlok,Griffin (Marvel Comics)
Gamora,Adam Warlock
War Machine,Iron Man
War Machine,Iron Man (Ultimate Marvel character)
Titania (Marvel Comics),Doctor Doom
Titania (Marvel Comics),Absorbing Man
"Bob, Agent of Hydra",Deadpool
T-Ray (comics),Slayback
Nick Fury,Shiver Man
Aragorn (comics),Black Knight (Dane Whitman)
Mandarin (comics),Unicorn (comics)
Cobra (Marvel Comics),Mister Hyde (comics)
Kraven the Hunter,Calypso (comics)
Kraven the Hunter,Chameleon (comics)
Daredevil (Marvel Comics character),Black Widow (Natasha Romanova)
Daredevil (Marvel Comics character),Kingpin (character)
Daredevil (Marvel Comics character),Iron Fist (comics)
Llyra,Attuma
Llyra,Ghaur
Crane Mother,Steel Serpent
Anya Corazon,Spider-Man
Anya Corazon,Spider-Woman (Jessica Drew)
Anya Corazon,Carol Danvers
Ulik,Loki (comics)
Abner Jenkins,Gladiator (Melvin Potter)
Abner Jenkins,Justin Hammer
Abner Jenkins,Collector (comics)
Fixer (comics),Mentallo
Fixer (comics),Alexander Bont
Bucky Barnes,Black Widow (Natasha Romanova)
Bucky Barnes,Captain America
Red Raven (Marvel Comics),Bi-Beast
Tarantula (Marvel Comics),Jackal (Marvel Comics)
Enchantress (Marvel Comics),Wonder Man
Enchantress (Marvel Comics),Executioner (comics)
Enchantress (Marvel Comics),Doctor Doom
Enchantress (Marvel Comics),Erik Josten
Enchantress (Marvel Comics),Loki (comics)
Venomm,Erik Killmonger
Spider-Man (Miles Morales),Spider-Man
Spider-Man (Miles Morales),Spider-Woman (Gwen Stacy)
Spider-Man (Miles Morales),Silk (comics)
Thing (comics),Mole Man
Tombstone (comics),Hammerhead (comics)
Tombstone (comics),Janice Lincoln
Toro (comics),Human Torch (android)
Iron Man,Wraith (Marvel Comics)
Iron Man,Pepper Potts
Iron Man,Riri Williams
Torpedo (Marvel Comics),Rom (comics)
Erik Josten,Grim Reaper (comics)
Mastermind (Martinique Jason),Arcade (Marvel Comics)
Kurse,Thor (Marvel Comics)
White Rabbit (comics),Arcade (Marvel Comics)
Lemuel Dorcas,Attuma
Lemuel Dorcas,Byrrah
Lemuel Dorcas,Krang (Marvel Comics)
Lemuel Dorcas,Tiger Shark (Marvel Comics)
Justin Hammer,Stiletto (comics)
Justin Hammer,Discus (comics)
Satannish,Dormammu
Mendel Stromm,Jason Macendale
Adam Warlock,Pip the Troll
Fin Fang Foom,Elektro (comics)
Lorelei (Asgardian),Pluto (Marvel Comics)
Lorelei (Asgardian),Loki (comics)
Shiver Man,Beast (comics)
Shiver Man,Wolverine (character)
Namorita,Fin (comics)
Namorita,Namor
Namorita,Namora
